date,headline_yoy,headline_mom,cpi_trim,cpi_median,cpi_common,cpix,cpixfet,core_band_width,core_avg,headline_minus_core,abs_dev_from_target,abs_mom_dev
2000-01-01,2.3965141612200425,0.0,1.5,1.3,1.4,1.2,1.5,0.30000000000000004,1.38,1.0165141612200426,0.39651416122004246,0.1652
2000-02-01,2.7233115468409563,0.31914893617019935,1.6,1.4,1.7,1.3,1.6,0.3999999999999999,1.52,1.2033115468409563,0.7233115468409563,0.15394893617019934
2000-03-01,3.04347826086957,0.5302226935312904,1.6,1.4,1.8,1.3,1.6,0.5,1.5399999999999998,1.50347826086957,1.0434782608695699,0.36502269353129035
2000-04-01,2.0540540540540553,-0.42194092827003704,1.5,1.4,1.5,1.2,1.3,0.30000000000000004,1.3800000000000001,0.6740540540540552,0.05405405405405528,0.587140928270037
2000-05-01,2.2678185745140578,0.3177966101694851,1.6,1.5,1.6,1.1,1.4,0.5,1.4400000000000002,0.8278185745140576,0.2678185745140578,0.15259661016948511
2000-06-01,2.9157667386609187,0.6335797254487741,1.8,1.6,1.6,1.3,1.5,0.5,1.56,1.3557667386609187,0.9157667386609187,0.46837972544877404
2000-07-01,3.0172413793103425,0.31479538300105414,1.8,1.6,1.8,1.2,1.6,0.6000000000000001,1.6,1.4172413793103424,1.0172413793103425,0.14959538300105413
2000-08-01,2.467811158798283,-0.10460251046024993,1.9,1.7,1.9,1.2,1.5,0.7,1.64,0.8278111587982833,0.46781115879828317,0.26980251046024994
2000-09-01,2.566844919786093,0.41884816753927634,1.8,1.6,1.8,1.1,1.3,0.7,1.52,1.0468449197860932,0.5668449197860932,0.2536481675392763
2000-10-01,2.8846153846153966,0.4171011470281538,1.9,1.7,1.8,1.3,1.5,0.5999999999999999,1.64,1.2446153846153967,0.8846153846153966,0.2519011470281538
2000-11-01,3.3084311632870733,0.5192107995846351,2.0,1.8,2.0,1.5,1.8,0.5,1.8199999999999998,1.4884311632870735,1.3084311632870733,0.3540107995846351
2000-12-01,3.1914893617021267,0.20661157024792765,2.1,1.9,2.1,1.7,1.9,0.40000000000000013,1.94,1.2514893617021268,1.1914893617021267,0.04141157024792763
2001-01-01,2.9787234042553123,-0.20618556701030855,2.2,2.0,2.3,1.8,1.9,0.4999999999999998,2.04,0.9387234042553123,0.9787234042553123,0.37138556701030856
2001-02-01,2.757158006362692,0.10330578512398603,2.2,2.1,2.3,1.7,2.0,0.5999999999999999,2.06,0.6971580063626921,0.7571580063626921,0.061894214876013987
2001-03-01,2.4261603375527407,0.20639834881319707,2.2,2.2,2.3,1.9,1.7,0.5999999999999999,2.0599999999999996,0.36616033755274113,0.42616033755274074,0.04119834881319706
2001-04-01,3.601694915254239,0.720906282183309,2.4,2.2,2.5,2.2,1.9,0.6000000000000001,2.24,1.3616949152542386,1.6016949152542388,0.555706282183309
2001-05-01,3.9070749736008548,0.6134969325153561,2.4,2.2,2.5,2.3,1.9,0.6000000000000001,2.26,1.647074973600855,1.9070749736008548,0.4482969325153561
2001-06-01,3.2528856243441817,0.0,2.4,2.2,2.5,2.2,1.8,0.7,2.22,1.0328856243441815,1.2528856243441817,0.1652
2001-07-01,2.6150627615062705,-0.3048780487804992,2.5,2.3,2.6,2.5,2.0,0.6000000000000001,2.38,0.2350627615062706,0.6150627615062705,0.4700780487804992
2001-08-01,2.8272251308900653,0.10193679918450993,2.4,2.2,2.5,2.4,2.0,0.5,2.3,0.5272251308900655,0.8272251308900653,0.06326320081549008
2001-09-01,2.6068821689259725,0.20366598778003286,2.3,2.3,2.5,2.3,2.0,0.5,2.28,0.32688216892597266,0.6068821689259725,0.03846598778003285
2001-10-01,1.869158878504673,-0.3048780487804992,2.2,2.2,2.5,2.2,1.8,0.7,2.1800000000000006,-0.3108411214953275,0.1308411214953269,0.4700780487804992
2001-11-01,0.6198347107438051,-0.7135575942915251,1.9,2.0,2.3,1.8,1.3,0.9999999999999998,1.8599999999999999,-1.2401652892561947,1.3801652892561949,0.8787575942915251
2001-12-01,0.7216494845360799,0.30800821355236874,1.9,2.0,2.4,1.7,1.2,1.2,1.8399999999999999,-1.11835051546392,1.27835051546392,0.14280821355236872
2002-01-01,1.342975206611574,0.4094165813715467,2.0,2.1,2.3,1.9,1.3,0.9999999999999998,1.92,-0.5770247933884258,0.6570247933884259,0.24421658137154667
2002-02-01,1.5479876160990669,0.3058103975535298,2.0,2.0,2.4,2.3,1.4,1.0,2.02,-0.47201238390093314,0.4520123839009331,0.14061039755352978
2002-03-01,1.750772399588052,0.40650406504063596,2.0,2.0,2.3,2.2,1.7,0.5999999999999999,2.04,-0.28922760041194806,0.24922760041194802,0.24130406504063595
2002-04-01,1.7382413087934534,0.7085020242914908,2.1,2.0,2.4,2.3,1.9,0.5,2.14,-0.4017586912065467,0.2617586912065466,0.5433020242914908
2002-05-01,1.0162601626016343,-0.10050251256280562,2.0,2.0,2.2,2.1,2.0,0.20000000000000018,2.06,-1.0437398373983657,0.9837398373983657,0.26570251256280564
2002-06-01,1.21951219512193,0.2012072434607548,1.9,2.1,2.2,2.1,2.1,0.30000000000000027,2.08,-0.86048780487807,0.7804878048780699,0.03600724346075479
2002-07-01,2.2426095820591296,0.7028112449799284,1.9,2.0,2.2,2.0,2.1,0.30000000000000027,2.04,0.2026095820591296,0.24260958205912964,0.5376112449799284
2002-08-01,2.5458248472504996,0.3988035892322994,2.1,2.2,2.3,2.4,2.3,0.2999999999999998,2.2600000000000002,0.2858248472504994,0.5458248472504996,0.2336035892322994
2002-09-01,2.4390243902439046,0.09930486593843213,2.1,2.2,2.1,2.5,2.2,0.3999999999999999,2.22,0.2190243902439044,0.4390243902439046,0.06589513406156788
2002-10-01,3.2619775739041845,0.49603174603174427,2.1,2.1,2.0,2.5,2.5,0.5,2.2399999999999998,1.0219775739041848,1.2619775739041845,0.33083174603174426
2002-11-01,4.312114989733051,0.29615004935834577,2.3,2.2,2.3,3.2,3.1,1.0,2.62,1.6921149897330512,2.3121149897330513,0.13095004935834575
2002-12-01,3.8894575230296713,-0.09842519685039353,2.2,2.2,2.1,2.8,3.3,1.1999999999999997,2.5200000000000005,1.3694575230296708,1.8894575230296713,0.26362519685039354
2003-01-01,4.383282364933749,0.886699507389177,2.2,2.2,2.3,3.3,3.4,1.1999999999999997,2.68,1.7032823649337492,2.3832823649337493,0.721499507389177
2003-02-01,4.57317073170731,0.48828125,2.3,2.4,2.2,3.0,3.3,1.0999999999999996,2.6399999999999997,1.9331707317073104,2.57317073170731,0.32308125
2003-03-01,4.251012145748989,0.09718172983479434,2.2,2.4,2.2,2.8,3.1,0.8999999999999999,2.54,1.711012145748989,2.251012145748989,0.06801827016520567
2003-04-01,2.8140703517588017,-0.6796116504854344,2.0,2.2,1.9,2.1,2.7,0.8000000000000003,2.1799999999999997,0.634070351758802,0.8140703517588017,0.8448116504854344
2003-05-01,2.716297786720312,-0.19550342130987275,1.9,2.2,1.9,2.4,2.5,0.6000000000000001,2.18,0.5362977867203118,0.716297786720312,0.36070342130987276
2003-06-01,2.7108433734939874,0.19588638589618235,1.9,2.0,1.9,2.1,2.1,0.20000000000000018,2.0,0.7108433734939874,0.7108433734939874,0.030686385896182333
2003-07-01,2.193419740777669,0.19550342130987275,1.8,2.1,1.8,1.9,1.8,0.30000000000000004,1.8800000000000001,0.3134197407776689,0.193419740777669,0.030303421309872736
2003-08-01,2.0854021847070525,0.29268292682926855,1.7,2.0,1.8,1.5,1.7,0.5,1.7399999999999998,0.34540218470705275,0.08540218470705252,0.12748292682926854
2003-09-01,2.182539682539675,0.1945525291828787,1.8,1.9,1.9,1.7,1.9,0.19999999999999996,1.8399999999999999,0.34253968253967493,0.18253968253967479,0.029352529182878673
2003-10-01,1.5794669299111552,-0.09708737864077,1.7,2.0,1.9,1.8,1.8,0.30000000000000004,1.8399999999999999,-0.26053307008884463,0.4205330700888448,0.26228737864077
2003-11-01,1.476377952755903,0.19436345966956647,1.7,1.9,1.8,1.8,1.8,0.19999999999999996,1.8,-0.32362204724409716,0.5236220472440971,0.02916345966956646
2003-12-01,2.0689655172413834,0.4849660523763344,1.7,2.0,2.0,2.1,1.6,0.5,1.8800000000000001,0.18896551724138333,0.06896551724138344,0.3197660523763344
2004-01-01,1.26953125,0.09652509652511299,1.7,1.8,1.6,1.5,1.5,0.30000000000000004,1.6199999999999999,-0.3504687499999999,0.73046875,0.06867490347488703
2004-02-01,0.7774538386783325,0.0,1.6,1.6,1.6,1.2,1.0,0.6000000000000001,1.4000000000000001,-0.6225461613216676,1.2225461613216675,0.1652
2004-03-01,0.6796116504854455,0.0,1.4,1.5,1.7,1.3,1.1,0.5999999999999999,1.4,-0.7203883495145544,1.3203883495145545,0.1652
2004-04-01,1.6617790811339184,0.2892960462873573,1.6,1.6,1.9,1.8,1.2,0.7,1.6199999999999999,0.04177908113391848,0.33822091886608163,0.12409604628735726
2004-05-01,2.5465230166503483,0.6730769230769207,1.6,1.6,1.8,1.5,1.2,0.6000000000000001,1.54,1.0065230166503483,0.5465230166503483,0.5078769230769207
2004-06-01,2.4437927663734094,0.09551098376312517,1.6,1.6,1.9,1.7,1.3,0.5999999999999999,1.6199999999999999,0.8237927663734095,0.44379276637340936,0.06968901623687485
2004-07-01,2.2439024390243922,0.0,1.7,1.6,1.8,1.9,1.4,0.5,1.6800000000000002,0.5639024390243921,0.24390243902439224,0.1652
2004-08-01,1.8482490272373697,-0.0954198473282375,1.7,1.6,1.8,1.6,1.0,0.8,1.5399999999999998,0.3082490272373699,0.15175097276263028,0.2606198473282375
2004-09-01,1.747572815533971,0.09551098376312517,1.6,1.7,1.7,1.5,1.0,0.7,1.5,0.24757281553397092,0.2524271844660291,0.06968901623687485
2004-10-01,2.235179786200181,0.3816793893129722,1.7,1.7,1.8,1.4,0.9,0.9,1.5,0.735179786200181,0.23517978620018098,0.21647938931297217
2004-11-01,2.5218234723569433,0.47528517110266844,1.9,1.9,1.9,1.7,1.2,0.7,1.72,0.8018234723569433,0.5218234723569433,0.3100851711026684
2004-12-01,2.1235521235521304,0.09460737937558861,1.9,1.9,1.9,1.8,1.3,0.5999999999999999,1.7599999999999998,0.3635521235521306,0.12355212355213041,0.0705926206244114
2005-01-01,2.0250723240115676,0.0,1.7,1.8,1.9,1.7,1.1,0.7999999999999998,1.6400000000000001,0.38507232401156744,0.02507232401156756,0.1652
2005-02-01,2.121504339440694,0.0945179584121103,1.7,1.8,1.9,1.7,1.4,0.5,1.7,0.4215043394406941,0.12150433944069405,0.07068204158788971
2005-03-01,2.4108003857280513,0.28328611898016387,1.9,2.0,1.9,1.8,1.5,0.5,1.8199999999999998,0.5908003857280515,0.41080038572805133,0.11808611898016386
2005-04-01,2.3076923076923217,0.18832391713747842,1.8,1.8,2.0,1.6,1.1,0.8999999999999999,1.6599999999999997,0.647692307692322,0.3076923076923217,0.02312391713747841
2005-05-01,1.5281757402101137,-0.09398496240602405,1.8,1.8,1.9,1.6,1.2,0.7,1.6599999999999997,-0.131824259789886,0.4718242597898863,0.25918496240602407
2005-06-01,1.717557251908386,0.2822201317027151,1.8,1.9,2.0,1.5,1.4,0.6000000000000001,1.72,-0.0024427480916140443,0.28244274809161407,0.11702013170271508
2005-07-01,1.9083969465648831,0.18761726078799779,1.7,1.8,2.0,1.3,1.1,0.8999999999999999,1.58,0.32839694656488305,0.09160305343511688,0.022417260787997773
2005-08-01,2.483285577841454,0.46816479400748623,1.7,1.8,2.1,1.7,1.5,0.6000000000000001,1.7600000000000002,0.723285577841454,0.4832855778414542,0.3029647940074862
2005-09-01,3.3396946564885566,0.9319664492078328,1.8,1.8,2.1,1.7,1.5,0.6000000000000001,1.78,1.5596946564885565,1.3396946564885566,0.7667664492078328
2005-10-01,2.756653992395419,-0.1846722068328699,1.8,1.9,1.9,1.7,1.4,0.5,1.7399999999999998,1.0166539923954194,0.7566539923954192,0.3498722068328699
2005-11-01,2.081362346263016,-0.18501387604069608,1.7,1.8,2.0,1.5,1.4,0.6000000000000001,1.6800000000000002,0.4013623462630158,0.08136234626301597,0.3502138760406961
2005-12-01,2.07939508506616,0.0926784059314123,1.6,1.7,1.9,1.5,1.3,0.5999999999999999,1.5999999999999999,0.47939508506616035,0.07939508506616022,0.07252159406858771
2006-01-01,2.930056710775064,0.8333333333333304,1.8,1.8,2.1,1.6,1.4,0.7000000000000002,1.7400000000000002,1.190056710775064,0.9300567107750641,0.6681333333333304
2006-02-01,2.455146364494798,-0.36730945821855654,1.7,1.8,2.0,1.7,1.3,0.7,1.7,0.755146364494798,0.45514636449479795,0.5325094582185566
2006-03-01,2.259887005649719,0.09216589861751334,1.8,1.9,2.0,1.7,1.4,0.6000000000000001,1.7600000000000002,0.49988700564971866,0.2598870056497189,0.07303410138248667
2006-04-01,2.537593984962405,0.4604051565377576,1.7,1.9,1.8,1.6,1.7,0.2999999999999998,1.7399999999999998,0.7975939849624054,0.5375939849624052,0.2952051565377576
2006-05-01,2.728127939793046,0.09165902841430373,1.9,2.0,1.9,2.0,1.8,0.19999999999999996,1.92,0.8081279397930459,0.7281279397930458,0.07354097158569628
2006-06-01,2.345215759849917,-0.09157509157510235,1.7,1.9,1.7,1.7,1.4,0.5,1.6800000000000002,0.6652157598499167,0.3452157598499168,0.25677509157510237
2006-07-01,2.2471910112359605,0.09165902841430373,2.0,2.0,1.9,2.0,1.9,0.10000000000000009,1.9600000000000002,0.28719101123596036,0.24719101123596054,0.07354097158569628
2006-08-01,1.9571295433364444,0.1831501831501825,2.2,2.0,2.0,2.0,2.0,0.20000000000000018,2.04,-0.08287045666355564,0.0428704566635556,0.017950183150182486
2006-09-01,0.6463527239150446,-0.3656307129798919,2.3,2.1,2.1,2.3,2.2,0.19999999999999973,2.2,-1.5536472760849556,1.3536472760849554,0.5308307129798919
2006-10-01,0.9250693802035137,0.09174311926605228,2.4,2.1,2.3,2.4,2.4,0.2999999999999998,2.32,-1.3949306197964861,1.0749306197964863,0.07345688073394774
2006-11-01,1.4828544949026856,0.36663611365719273,2.5,2.2,2.3,2.2,2.1,0.3999999999999999,2.26,-0.7771455050973142,0.5171455050973144,0.20143611365719272
2006-12-01,1.7592592592592604,0.36529680365298134,2.5,2.2,2.1,2.1,2.1,0.3999999999999999,2.2,-0.44074074074073977,0.2407407407407396,0.20009680365298133
2007-01-01,1.1937557392102782,0.27297543221109777,2.5,2.2,2.1,2.3,2.3,0.3999999999999999,2.2800000000000002,-1.086244260789722,0.8062442607897218,0.10777543221109775
2007-02-01,1.9354838709677358,0.3629764065335772,2.8,2.5,2.4,2.3,2.4,0.5,2.48,-0.5445161290322642,0.06451612903226422,0.1977764065335772
2007-03-01,2.3941068139963217,0.5424954792043524,2.8,2.4,2.4,2.3,2.4,0.5,2.46,-0.06589318600367822,0.39410681399632175,0.37729547920435236
2007-04-01,2.1998166819431786,0.2697841726618577,2.8,2.5,2.5,2.5,2.5,0.2999999999999998,2.56,-0.36018331805682147,0.1998166819431786,0.10458417266185771
2007-05-01,2.1062271062270987,0.0,2.8,2.5,2.5,2.2,2.4,0.5999999999999996,2.48,-0.37377289377290124,0.10622710622709874,0.1652
2007-06-01,2.016498625114571,-0.17937219730942422,2.9,2.7,2.5,2.5,2.7,0.3999999999999999,2.66,-0.643501374885429,0.01649862511457112,0.34457219730942423
2007-07-01,2.0146520146520075,0.08984725965859308,2.7,2.5,2.4,2.3,2.4,0.40000000000000036,2.46,-0.44534798534799247,0.014652014652007495,0.07535274034140693
2007-08-01,1.7367458866544672,-0.08976660682227244,2.5,2.5,2.3,2.2,2.2,0.2999999999999998,2.34,-0.6032541133455327,0.26325411334553284,0.25496660682227246
2007-09-01,2.477064220183478,0.3593890386343279,2.5,2.7,2.2,2.0,2.1,0.7000000000000002,2.3,0.17706422018347823,0.47706422018347805,0.1941890386343279
2007-10-01,2.5664527956003713,0.1790510295434311,2.4,2.5,2.0,1.8,1.9,0.7,2.12,0.4464527956003712,0.5664527956003713,0.013851029543431093
2007-11-01,2.465753424657535,0.2680965147453085,2.2,2.3,1.9,1.6,1.8,0.6999999999999997,1.9600000000000002,0.505753424657535,0.4657534246575352,0.10289651474530848
2007-12-01,2.456778889899902,0.35650623885916666,2.2,2.4,1.9,1.5,1.7,0.8999999999999999,1.94,0.5167788898999022,0.4567788898999021,0.19130623885916664
2008-01-01,1.9963702359346636,-0.1776198934280493,2.3,2.6,2.0,1.4,1.9,1.2000000000000002,2.04,-0.043629764065336474,0.0036297640653364383,0.3428198934280493
2008-02-01,1.8083182640144635,0.177935943060481,2.2,2.5,1.9,1.5,1.8,1.0,1.98,-0.1716817359855365,0.1916817359855365,0.012735943060480981
2008-03-01,1.4388489208633004,0.1776198934280604,2.0,2.4,1.8,1.3,1.6,1.0999999999999999,1.8199999999999998,-0.38115107913669943,0.5611510791366996,0.01241989342806038
2008-04-01,1.6143497757847403,0.44326241134751143,2.3,2.6,1.9,1.5,1.7,1.1,2.0,-0.38565022421525974,0.38565022421525974,0.2780624113475114
2008-05-01,2.331838565022415,0.7060900264783676,2.3,2.4,2.0,1.5,1.7,0.8999999999999999,1.9799999999999998,0.3518385650224152,0.33183856502241493,0.5408900264783676
2008-06-01,3.234501347708907,0.7011393514461117,2.3,2.5,2.2,1.5,1.7,1.0,2.04,1.1945013477089068,1.2345013477089068,0.5359393514461117
2008-07-01,3.590664272890476,0.4351610095735481,2.5,2.6,2.2,1.5,1.7,1.1,2.1,1.4906642728904758,1.5906642728904758,0.26996100957354807
2008-08-01,3.6837376460018056,0.0,2.5,2.7,2.4,1.7,1.7,1.0000000000000002,2.1999999999999997,1.483737646001806,1.6837376460018056,0.1652
